Tanggal Saham,Nilai Sentimen Saham,Sentimen Saham,Tanggal Berita,Nilai Sentimen Berita,Sentimen Berita
2022-04-26,-9.094736842105306,negatif,2022-04-19,0.1805555555555554,netral
2022-04-27,-2.456521739130435,netral,2022-04-20,0.19960317460317442,netral
2022-04-28,-3.0684523809523823,netral,2022-04-21,0.19960317460317442,netral
2022-05-09,30.520325203251563,positif,2022-05-02,1.0999999999999999,positif
2022-05-10,-0.9405099150141637,netral,2022-05-03,0.1666666666666666,netral
2022-05-11,-4.668539325842684,netral,2022-05-04,-0.23333333333333342,netral
2022-05-12,6.387464387464391,positif,2022-05-05,-0.43333333333333346,negatif
2022-05-13,-2.5121951219512195,netral,2022-05-06,-0.43333333333333346,negatif
2022-05-17,-3.1181818181818146,netral,2022-05-10,-0.6000000000000001,negatif
2022-05-18,6.355029585798769,positif,2022-05-11,-0.2,netral
2022-05-19,-0.7794285714285708,netral,2022-05-12,0.0,netral
2022-05-20,-2.3518356095727344,netral,2022-05-13,-0.1326388888888888,netral
2022-05-23,0.803418803418791,netral,2022-05-16,0.9006944444444444,positif
2022-05-24,0.09745762711864418,netral,2022-05-17,0.9006944444444444,positif
2022-05-25,-2.93112947658402,netral,2022-05-18,1.1006944444444444,positif
2022-05-27,-9.189542483660112,negatif,2022-05-20,1.2333333333333332,positif
2022-05-30,-2.0,netral,2022-05-23,0.6333333333333332,positif
2022-05-31,-2.6358695652173836,netral,2022-05-24,1.1333333333333333,positif
2022-06-02,-4.786557674841059,netral,2022-05-26,0.9333333333333331,positif
2022-06-03,-3.367231638418071,netral,2022-05-27,0.9333333333333331,positif
2022-06-06,-2.3626206196038644,netral,2022-05-30,0.0,netral
2022-06-07,-2.0,netral,2022-05-31,-0.5,negatif
2022-06-08,-10.269662921348466,negatif,2022-06-01,-0.5,negatif
2022-06-09,0.03888888888888976,netral,2022-06-02,-0.45,negatif
2022-06-10,-9.65129682997125,negatif,2022-06-03,-0.25,netral
2022-06-13,0.1566265060240643,netral,2022-06-06,0.8447916666666666,positif
2022-06-14,-2.0,netral,2022-06-07,0.9519345238095236,positif
2022-06-15,-2.0,netral,2022-06-08,0.9571112914862911,positif
2022-06-16,-1.8326748779920998,netral,2022-06-09,0.4071112914862911,netral
2022-06-17,-1.5793939393939416,netral,2022-06-10,0.40711129148629116,netral
2022-06-20,0.030581039755376255,netral,2022-06-13,0.5595418470418468,positif
2022-06-21,24.40000000000082,positif,2022-06-14,0.7023989898989899,positif
2022-06-22,-2.0,netral,2022-06-15,0.977222222222222,positif
2022-06-23,-2.0,netral,2022-06-16,1.977222222222222,positif
2022-06-24,-2.0,netral,2022-06-17,2.0172222222222222,positif
2022-06-27,2.0122699386502956,netral,2022-06-20,1.4324999999999999,positif
2022-06-28,-1.8447204968944126,netral,2022-06-21,1.1824999999999999,positif
2022-06-29,-1.6511867905056778,netral,2022-06-22,0.989431818181818,positif
2022-06-30,-2.0,netral,2022-06-23,0.38943181818181805,netral
2022-07-01,-2.0,netral,2022-06-24,0.14943181818181797,netral
2022-07-04,2.152866242038202,netral,2022-06-27,-0.7130681818181822,negatif
2022-07-05,6.418300653594876,positif,2022-06-28,-0.4130681818181822,negatif
2022-07-06,2.167741935483908,netral,2022-06-29,-0.5166666666666668,negatif
2022-07-07,-1.400560224089638,netral,2022-06-30,-0.3162121212121215,negatif
2022-07-08,-2.0,netral,2022-07-01,-0.49257575757575767,negatif
